QALY,Cost,Delta_Cost,Delta_QALY,ICER,cost_scenario,transition_source,efficacy_duration,hr_factor
20.370894505076393,418973.10445205274,28559.58343277732,0.06647796653766491,429609.7627564481,6829,_trial_low,20,0.25
20.980981060880694,463502.67253432085,73089.15151504544,0.6765645223419661,108029.83174767018,6829,_trial_low,80,1.0
20.868120855726502,467963.59460631816,77550.07358704275,0.5637043171877743,137572.25414544807,6829,_trial_low,80,0.75
20.721989830518527,473718.36737615545,83304.84635688004,0.4175732919797994,199497.5443997266,6829,_trial_low,80,0.5
20.536124178740216,480980.48657786055,90566.96555858513,0.23170764020148837,390867.4115356312,6829,_trial_low,80,0.25
21.230798336122078,515526.83540445194,125113.31438517652,0.9263817975833497,135055.88593338014,6829,_trial_low,lifetime,1.0
21.099997740512556,520549.5668408433,130136.04582156788,0.7955812019738282,163573.55540666595,6829,_trial_low,lifetime,0.75
20.91082722661173,528037.302369377,137623.78135010158,0.6064106880730016,226948.14596264836,6829,_trial_low,lifetime,0.5
20.649259558739583,538514.8914317669,148101.3704124915,0.3448430202008552,429474.7515151365,6829,_trial_low,lifetime,0.25
19.54267903322325,440015.2707829928,4300.9627968648565,0.1388895254821847,30966.790202019514,6829,_trial,6,1.0
19.50998588066259,441168.98295898904,5454.674972861074,0.10619637292152362,51364.04213062849,6829,_trial,6,0.75
19.475963069178963,442368.5555858185,6654.247599690512,0.07217356143789644,92197.8556568298,6829,_trial,6,0.5
19.440575842204932,443615.1208323778,7900.812846249843,0.0367863344638657,214775.75739465465,6829,_trial,6,0.25
19.810414341992793,451870.1038569226,16155.795870794624,0.40662483425172624,39731.45393474215,6829,_trial,20,1.0
19.725425544335664,454973.7109238307,19259.40293770272,0.3216360365945974,59879.4934224924,6829,_trial,20,0.75
19.629893621414237,458449.98634920176,22735.678363073792,0.22610411367316985,100554.02351475072,6829,_trial,20,0.5
19.52296048895839,462325.807024568,26611.49903844006,0.11917098121732295,223305.19365205793,6829,_trial,20,0.25
20.63555470794621,485566.78936796583,49852.48138183786,1.2317652002051425,40472.389846324004,6829,_trial,80,1.0
20.44073063859263,493589.0256404379,57874.717654309934,1.036941130851563,55812.92508551735,6829,_trial,80,0.75
20.177651925349867,504251.3218828785,68537.01389675052,0.7738624176088003,88564.85641017015,6829,_trial,80,0.5
19.83477523413997,517880.9508345741,82166.64284844615,0.43098572639890165,190648.17653008833,6829,_trial,80,0.25
21.123670256491238,520287.33584910317,84573.0278629752,1.719880748750171,49173.77435873621,6829,_trial,lifetime,1.0
20.880696064080293,530562.9830706198,94848.67508449178,1.4769065563392267,64221.17545445187,6829,_trial,lifetime,0.75
20.5227580028862,545777.3492760963,110063.04128996836,1.1189684951451326,98361.1618803378,6829,_trial,lifetime,0.5
20.03168145303605,566359.8627506807,130645.55476455268,0.6278919452949836,208070.12375859576,6829,_trial,lifetime,0.25
18.451361399840597,491798.28541323036,2295.151564717933,0.20127589941052904,11403.012339975516,6829,_trial_high,6,1.0
